idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.118103981018066,-6.419984340667725,-8.627756118774414,-6.419984340667725,-7.768552303314209,-8.976436614990234
2,-4.750506401062012,-6.326395034790039,-8.509123802185059,-6.326395034790039,-7.142866134643555,-9.01339340209961
3,-4.955487251281738,-6.209826469421387,-8.82037353515625,-6.209826469421387,-7.259072780609131,-9.598512649536133
4,-4.452931880950928,-5.509040832519531,-8.514102935791016,-5.509040832519531,-6.500290393829346,-8.724787712097168
5,-5.312197685241699,-6.925200939178467,-8.774226188659668,-6.925200939178467,-7.416642665863037,-8.323200225830078
6,-5.205842018127441,-6.723546981811523,-8.386911392211914,-6.723546981811523,-7.6009979248046875,-8.976436614990234
7,-4.923096656799316,-6.680934906005859,-8.498173713684082,-6.680934906005859,-7.266106128692627,-9.01339340209961
8,-5.051220893859863,-6.638374328613281,-8.549242973327637,-6.638374328613281,-7.142666339874268,-9.598512649536133
9,-4.574797630310059,-5.782302379608154,-8.32322883605957,-5.782302379608154,-6.501092910766602,-8.724787712097168
10,-5.3893842697143555,-7.219257354736328,-8.577042579650879,-7.219257354736328,-7.458445072174072,-8.323200225830078
11,-5.77493143081665,-7.7422637939453125,-8.588093757629395,-7.7422637939453125,-8.03418254852295,-8.976436614990234
12,-5.608523845672607,-8.015474319458008,-8.751154899597168,-8.015474319458008,-8.092825889587402,-9.01339340209961
13,-5.6919636726379395,-7.885486602783203,-8.933982849121094,-7.885486602783203,-8.26357650756836,-9.598512649536133
14,-5.291769981384277,-6.843610763549805,-8.577618598937988,-6.843610763549805,-7.566387176513672,-8.724787712097168
15,-5.868124008178711,-7.951333045959473,-8.438451766967773,-7.951333045959473,-7.392958164215088,-8.323200225830078
16,-6.2227864265441895,-7.670799255371094,-10.326367378234863,-7.670799255371094,-7.768552303314209,-9.980652809143066
17,-5.90684700012207,-7.574437618255615,-10.170119285583496,-7.574437618255615,-7.142866134643555,-10.412040710449219
18,-5.665830612182617,-7.614563465118408,-10.323319435119629,-7.614563465118408,-7.259072780609131,-10.62290096282959
19,-5.2758989334106445,-7.08527946472168,-9.820743560791016,-7.08527946472168,-6.500290393829346,-9.46346664428711
20,-6.606492042541504,-8.253662109375,-10.250055313110352,-8.253662109375,-7.416642665863037,-8.938029289245605
21,-6.350930213928223,-8.243332862854004,-9.887334823608398,-8.243332862854004,-7.6009979248046875,-9.980652809143066
22,-6.10634708404541,-8.135233879089355,-9.921903610229492,-8.135233879089355,-7.266106128692627,-10.412040710449219
23,-5.775734901428223,-8.156245231628418,-9.869902610778809,-8.156245231628418,-7.142666339874268,-10.62290096282959
24,-5.3881988525390625,-7.548984050750732,-9.465288162231445,-7.548984050750732,-6.501092910766602,-9.46346664428711
25,-6.757198810577393,-8.671307563781738,-10.007671356201172,-8.671307563781738,-7.458445072174072,-8.938029289245605
26,-6.940160751342773,-10.125279426574707,-10.0650053024292,-10.125279426574707,-8.03418254852295,-9.980652809143066
27,-6.896690368652344,-10.3773775100708,-10.27869701385498,-10.3773775100708,-8.092825889587402,-10.412040710449219
28,-6.6284027099609375,-10.401415824890137,-10.298884391784668,-10.401415824890137,-8.26357650756836,-10.62290096282959
29,-6.182776927947998,-9.380867958068848,-9.680341720581055,-9.380867958068848,-7.566387176513672,-9.46346664428711
30,-7.3059210777282715,-10.3856201171875,-9.899078369140625,-10.3856201171875,-7.392958164215088,-8.938029289245605
31,-5.714959144592285,-7.3127264976501465,-9.349410057067871,-7.3127264976501465,-7.768552303314209,-9.736001014709473
32,-5.437551975250244,-7.189729690551758,-9.155228614807129,-7.189729690551758,-7.142866134643555,-9.830682754516602
33,-5.062196254730225,-6.768255710601807,-9.275222778320312,-6.768255710601807,-7.259072780609131,-10.211942672729492
