idx,construction_score,non_article_region_score,numeral_noun_region_score,just_noun_region_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
1,-4.583048343658447,-4.693190097808838,-2.734681844711304,-1.4470654726028442,-6.224853515625,-6.224853515625,-6.246337890625,-7.733057975769043,-7.397689342498779,-7.397689342498779,-4.560279846191406,-5.946864128112793,-7.298381805419922,-9.02717399597168
2,-4.60749626159668,-4.725787162780762,-2.783578395843506,-1.544858694076538,-6.501482963562012,-6.501482963562012,-6.397370338439941,-7.934433937072754,-7.374356269836426,-7.374356269836426,-4.458593368530273,-5.793722629547119,-7.628029823303223,-10.021259307861328
3,-4.712813377380371,-4.8662109375,-2.994213342666626,-1.9661283493041992,-7.022455215454102,-7.022455215454102,-7.031712055206299,-8.779504776000977,-7.497543811798096,-7.497543811798096,-4.9630632400512695,-6.55042839050293,-7.986471176147461,-11.084997177124023
4,-4.744232177734375,-4.908102035522461,-3.057049512863159,-2.0918006896972656,-7.15286922454834,-7.15286922454834,-7.20358419418335,-9.008667945861816,-7.689622402191162,-7.689622402191162,-5.462894439697266,-7.30078649520874,-7.889054298400879,-10.802005767822266
5,-4.672499656677246,-4.812459468841553,-2.9135866165161133,-1.804875135421753,-7.315578460693359,-7.315578460693359,-7.152417182922363,-8.941758155822754,-7.518110275268555,-7.518110275268555,-5.390637397766113,-7.192867279052734,-7.076061248779297,-8.353765487670898
6,-4.737859725952148,-4.899605751037598,-3.0443055629730225,-1.365490436553955,-6.067686557769775,-6.067686557769775,-6.440613746643066,-7.992092132568359,-7.596795082092285,-7.596795082092285,-4.634707450866699,-6.058972358703613,-7.300473213195801,-9.027003288269045
7,-4.961435317993164,-5.19770622253418,-3.4914565086364746,-2.259791135787964,-6.668785572052002,-6.668785572052002,-7.002113342285156,-8.740757942199707,-7.858131408691406,-7.858131408691406,-5.324087142944336,-7.092576026916504,-7.631037712097168,-10.018696784973145
8,-4.977088928222656,-5.2185773849487305,-3.5227627754211426,-2.3224036693573,-7.241487503051758,-7.241487503051758,-7.565824508666992,-9.4923734664917,-7.88645076751709,-7.88645076751709,-5.848671913146973,-7.879919052124023,-7.986471176147461,-11.084997177124023
9,-4.7622389793396,-4.932252883911133,-3.087268829345703,-1.451050877571106,-6.75852108001709,-6.75852108001709,-7.428662300109863,-9.31008529663086,-7.68605899810791,-7.68605899810791,-5.723864555358887,-7.692707538604736,-7.891024589538574,-10.79865550994873
10,-4.90932559967041,-5.128226280212402,-3.387236833572388,-2.051352024078369,-7.565630912780762,-7.565630912780762,-7.4713239669799805,-9.366086959838867,-7.654536247253418,-7.654536247253418,-5.708132743835449,-7.668644428253174,-7.076061248779297,-8.353765487670898
11,-5.509510040283203,-5.928631782531738,-4.585034370422363,-3.0989346504211426,-7.938892364501953,-7.938892364501953,-7.434298515319824,-9.317005157470703,-8.45622444152832,-8.45622444152832,-5.884132385253906,-7.933109283447266,-7.300473213195801,-9.027003288269045
12,-6.071163177490234,-6.677484512329102,-5.705117225646973,-5.339938640594482,-9.375640869140623,-9.375640869140623,-8.628897666931152,-10.90980339050293,-9.34624195098877,-9.34624195098877,-7.581662178039551,-10.478938102722168,-7.631037712097168,-10.018696784973145
