idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
1,-7.321990966796875,-7.7282490730285645,-5.629116058349609,-2.327913284301758,-7.707129955291748,-7.707129955291748,-7.641704082489014,-8.692212104797363,-7.268852233886719,-7.268852233886719,-4.430126667022705,-5.975863933563232,-7.778511047363281,-6.675354957580566
2,-7.337528705596924,-7.7463765144348145,-5.683497905731201,-2.4366769790649414,-8.08616828918457,-8.08616828918457,-7.97976016998291,-9.0866117477417,-7.2840118408203125,-7.2840118408203125,-4.362813949584961,-5.874894618988037,-8.231183052062988,-9.391388893127441
3,-7.546245098114014,-7.989879131317139,-6.414005279541016,-3.8976917266845703,-8.516867637634277,-8.516867637634277,-8.351602554321289,-9.520427703857422,-7.542680740356445,-7.542680740356445,-5.0538010597229,-6.911375045776367,-8.533454895019531,-11.2050199508667
4,-7.3816938400268555,-7.797901630401611,-5.838074207305908,-2.7458295822143555,-8.161531448364258,-8.161531448364258,-8.049966812133789,-9.168519020080566,-7.358139514923096,-7.358139514923096,-4.418795108795166,-5.958866119384766,-8.347285270690918,-10.088001251220703
5,-7.3801960945129395,-7.7961554527282715,-5.832834243774414,-2.7353501319885254,-8.256989479064941,-8.256989479064941,-8.142464637756348,-9.276432991027832,-7.319915771484375,-7.319915771484375,-4.770036220550537,-6.485727787017822,-8.187023162841797,-9.126433372497559
6,-7.3753180503845215,-7.790464401245117,-5.815762042999268,-2.485136032104492,-7.93777322769165,-7.93777322769165,-7.772507667541504,-8.844817161560059,-7.304880142211914,-7.304880142211914,-4.327942371368408,-5.822587490081787,-7.778511047363281,-6.675354957580566
7,-7.428080081939697,-7.852019786834717,-6.00042724609375,-2.8544669151306152,-8.278203010559082,-8.278203010559082,-8.112778663635254,-9.241799354553223,-7.352926731109619,-7.352926731109619,-4.406484127044678,-5.940399646759033,-8.231183052062988,-9.391388893127441
8,-7.6066412925720215,-8.060341835021973,-6.625393867492676,-4.10439920425415,-8.678544044494629,-8.678544044494629,-8.469948768615723,-9.65849781036377,-7.577886581420898,-7.577886581420898,-5.053490161895752,-6.9109086990356445,-8.533454895019531,-11.2050199508667
9,-7.356484413146973,-7.768491744995117,-5.749844074249268,-2.353300094604492,-8.387428283691406,-8.387428283691406,-8.212580680847168,-9.358237266540527,-7.3169846534729,-7.3169846534729,-4.1583147048950195,-5.568145751953125,-8.347285270690918,-10.088001251220703
10,-7.365657806396484,-7.77919340133667,-5.781949043273926,-2.4175100326538086,-8.407662391662598,-8.407662391662598,-8.239850044250488,-9.390049934387207,-7.282359600067139,-7.282359600067139,-4.39017915725708,-5.915943145751953,-8.187023162841797,-9.126433372497559
11,-7.637970447540283,-8.096891403198242,-6.735043525695801,-3.931626796722412,-7.696389675140381,-7.696389675140381,-7.651340484619141,-8.703454971313477,-7.60423469543457,-7.60423469543457,-5.417133331298828,-7.45637321472168,-7.778511047363281,-6.675354957580566
12,-7.803858757019043,-8.290427207946777,-7.315651893615723,-5.092843055725098,-8.124459266662598,-8.124459266662598,-8.01535701751709,-9.128142356872559,-7.7511162757873535,-7.7511162757873535,-5.683714389801025,-7.856245994567871,-8.231183052062988,-9.391388893127441
13,-7.746321678161621,-8.22330093383789,-7.11427116394043,-4.690081596374512,-8.417196273803711,-8.417196273803711,-8.310810089111328,-9.4728364944458,-7.755762577056885,-7.755762577056885,-5.665518283843994,-7.828950881958008,-8.533454895019531,-11.2050199508667
