idx,construction_score,non_article_region_score,numeral_noun_region_score,just_noun_region_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
32,-5.799799919128418,-5.978331089019775,-3.3228096961975098,-0.9071519374847412,-8.347967147827148,-8.347967147827148,-9.092381477355955,-11.199082374572754,-8.927164077758789,-8.927164077758789,-6.3711442947387695,-8.164843559265137,-9.951061248779297,-13.325063705444336
33,-5.967883586883545,-6.215188026428223,-3.67026686668396,-1.599692702293396,-9.225289344787598,-9.225289344787598,-9.817456245422363,-12.16019344329834,-9.54727268218994,-9.54727268218994,-7.066003799438477,-9.20713233947754,-10.76853847503662,-15.777493476867676
34,-6.036797046661377,-6.294580459594727,-3.793293476104736,-1.8587357997894287,-8.466681480407715,-8.466681480407715,-9.467945098876951,-11.69402027130127,-9.479689598083496,-9.479689598083496,-7.075570583343506,-9.223121643066406,-10.558389663696287,-15.147047996520996
35,-6.185540676116943,-6.496732711791992,-4.090475082397461,-2.4602279663085938,-9.52556610107422,-9.52556610107422,-10.028680801391602,-12.44166660308838,-10.03040885925293,-10.03040885925293,-7.936117172241211,-10.51267147064209,-10.477334022521973,-14.903550148010254
36,-6.269556999206543,-6.604926109313965,-4.25506591796875,-1.9093413352966309,-8.820686340332031,-8.820686340332031,-8.953042030334473,-11.007482528686523,-9.696889877319336,-9.696889877319336,-5.973374366760254,-7.56855583190918,-10.2084321975708,-14.102171897888184
37,-6.185235500335693,-6.504717350006104,-4.104862689971924,-1.6076958179473877,-9.507094383239746,-9.507094383239746,-9.578487396240234,-11.841408729553224,-9.826189994812012,-9.826189994812012,-6.484249591827393,-8.334869384765625,-9.95964527130127,-13.355812072753906
38,-6.230550289154053,-6.5540690422058105,-4.185296535491943,-1.7662397623062134,-10.09299087524414,-10.09299087524414,-10.257524490356444,-12.74679183959961,-10.15304470062256,-10.15304470062256,-7.075292587280273,-9.221434593200684,-10.77817726135254,-15.811403274536133
39,-6.077565670013428,-6.36168909072876,-3.886824607849121,-1.1850452423095703,-9.029109001159668,-9.029109001159668,-9.77683448791504,-12.105873107910156,-9.64437484741211,-9.64437484741211,-6.820267677307129,-8.838896751403809,-10.568532943725586,-15.182475090026855
40,-6.427422046661377,-6.828164100646973,-4.58653736114502,-2.5844714641571045,-10.593561172485352,-10.593561172485352,-10.44655418395996,-12.998831748962402,-10.518723487854004,-10.518723487854004,-7.729569435119629,-10.199417114257812,-10.482187271118164,-14.923433303833008
41,-8.383500099182129,-9.436267852783203,-8.498693466186523,-4.734270095825195,-11.937350273132324,-11.937350273132324,-11.492168426513672,-14.394304275512695,-12.577306747436523,-12.577306747436523,-8.969045639038086,-12.05863094329834,-10.2084321975708,-14.102171897888184
42,-8.688878059387207,-9.84251594543457,-9.11963176727295,-5.983222484588623,-13.03451442718506,-13.03451442718506,-12.692377090454102,-15.99318504333496,-13.24156379699707,-13.24156379699707,-10.281730651855469,-14.02765941619873,-9.959646224975586,-13.35581398010254
43,-9.143415451049805,-10.436548233032228,-10.0101900100708,-7.782044887542725,-13.440936088562012,-13.440936088562012,-12.890703201293944,-16.257619857788086,-13.69868278503418,-13.69868278503418,-10.473360061645508,-14.315102577209473,-10.78632640838623,-15.83761215209961
