idx,preposition,embedding,pipp_filler_gap,pp_no_filler_no_gap,filler_no_gap,no_filler_gap
0,though,,6.472227096557617,8.562292098999023,9.990325927734375,9.802879333496094
1,though,,7.565552711486816,10.506043434143066,15.313896179199219,8.647287368774414
2,though,,7.7209696769714355,10.551600456237793,10.317032814025879,9.004989624023438
3,though,,0.5355952382087708,11.298495292663574,16.899538040161133,0.7642303705215454
4,though,,5.042090892791748,11.692981719970703,17.76268768310547,3.8917829990386963
5,though,,10.109949111938477,15.633448600769043,18.929384231567383,14.723542213439941
6,though,,12.680212020874023,11.15884017944336,10.03438663482666,18.292316436767578
7,though,,11.773772239685059,2.08332896232605,16.207975387573242,20.68100929260254
8,though,,13.101555824279785,10.354588508605957,8.588367462158203,20.034629821777344
9,though,,12.32361125946045,7.7671217918396,11.345340728759766,18.95347785949707
10,though,,7.161874771118164,8.429076194763184,8.792435646057129,8.327394485473633
11,though,,3.4701201915740967,9.269881248474121,11.215800285339355,3.264280319213867
12,though,,1.197445034980774,10.11288833618164,19.678672790527344,1.1527736186981201
13,though,,0.15350759029388428,1.1930257081985474,3.625955581665039,0.2983197271823883
14,though,,0.834850549697876,12.352867126464844,13.906676292419434,1.977233648300171
15,though,,1.9142742156982422,15.310187339782715,12.209766387939453,12.387043952941895
16,though,,2.0137710571289062,13.057165145874023,15.637763023376465,10.935564994812012
17,though,,3.301802635192871,9.340567588806152,12.774056434631348,12.57577896118164
18,though,,0.8032717704772949,12.675226211547852,16.48535919189453,13.097053527832031
19,though,,1.72327721118927,7.218560218811035,12.778206825256348,10.94056224822998
20,though,,2.7728612422943115,12.856300354003906,16.537708282470703,13.335034370422363
21,though,,1.0106196403503418,13.030450820922852,18.103229522705078,10.27687931060791
22,though,,3.218062400817871,10.036340713500977,14.250320434570312,10.529487609863281
23,though,,1.5208879709243774,9.455082893371582,12.255186080932617,13.19688606262207
24,though,,1.4077095985412598,10.59631061553955,13.577851295471191,12.300154685974121
25,though,,10.617493629455566,15.660789489746094,18.741838455200195,16.533405303955078
