idx,preposition,embedding,pipp_filler_gap,pp_no_filler_no_gap,filler_no_gap,no_filler_gap
0,though,,6.144096851348877,7.350557804107666,11.836642265319824,10.074031829833984
1,though,,8.67138957977295,5.640329360961914,18.129066467285156,9.828639030456543
2,though,,3.588803291320801,8.462052345275879,9.246413230895996,8.519780158996582
3,though,,0.44970986247062683,10.502103805541992,16.51851463317871,0.3187292516231537
4,though,,4.886935234069824,12.806051254272461,17.304933547973633,3.9608373641967773
5,though,,11.497822761535645,17.746623992919922,18.554948806762695,17.090885162353516
6,though,,11.689984321594238,11.143515586853027,15.29078483581543,18.192214965820312
7,though,,12.422093391418457,3.567641019821167,12.735271453857422,19.327491760253906
8,though,,11.5508394241333,9.232000350952148,9.26242446899414,18.23223114013672
9,though,,11.636720657348633,5.730565071105957,12.10207748413086,18.881271362304688
10,though,,3.1308560371398926,8.216079711914062,11.359785079956055,8.221053123474121
11,though,,3.4304733276367188,6.161818504333496,14.588475227355957,3.5562984943389893
12,though,,3.3671300411224365,10.158265113830566,20.18612289428711,1.3267112970352173
13,though,,0.26925739645957947,0.7544933557510376,5.130425453186035,0.3463551700115204
14,though,,2.847611665725708,13.420432090759277,15.884737014770508,2.0466787815093994
15,though,,1.6071668863296509,13.261518478393555,16.47684669494629,10.47545337677002
16,though,,1.5138132572174072,12.446599006652832,19.608051300048828,13.25879192352295
17,though,,1.351157546043396,8.017027854919434,16.122392654418945,12.615632057189941
18,though,,1.0119789838790894,12.568317413330078,16.497241973876953,13.277861595153809
19,though,,1.4542632102966309,8.472500801086426,17.373336791992188,12.251482963562012
20,though,,5.102477550506592,12.955462455749512,16.998220443725586,13.005099296569824
21,though,,1.483485221862793,13.457891464233398,20.348007202148438,11.264676094055176
22,though,,2.9376204013824463,8.916807174682617,15.328598976135254,11.84393310546875
23,though,,2.2686753273010254,7.525543212890625,15.653457641601562,13.180749893188477
24,though,,1.4024497270584106,10.960487365722656,14.513223648071289,12.552095413208008
25,though,,11.304062843322754,14.542230606079102,19.3653507232666,16.488195419311523
26,though,,11.63837718963623,15.738868713378906,17.12211799621582,17.449079513549805
27,though,,11.903706550598145,10.880483627319336,15.153630256652832,17.275102615356445
28,though,,11.100410461425781,15.744019508361816,12.06154727935791,18.099822998046875
29,though,,11.865968704223633,11.389131546020508,14.771221160888672,17.665239334106445
30,though,,1.5940053462982178,9.371077537536621,17.652835845947266,12.494729042053223
31,though,,1.8013036251068115,8.995797157287598,14.462172508239746,11.172904014587402
32,though,,1.3217829465866089,15.600930213928223,23.60569190979004,12.073512077331543
33,though,they said that we knew that,10.041202545166016,10.452742576599121,9.968134880065918,9.889083862304688
34,though,they said that we knew that,10.229843139648438,6.029125690460205,3.8941893577575684,10.350200653076172
35,though,they said that we knew that,7.096227169036865,9.333850860595703,9.836654663085938,8.275815963745117
36,though,they said that we knew that,0.6009266376495361,14.341741561889648,12.41052532196045,0.25925490260124207
37,though,they said that we knew that,5.30244779586792,13.24545955657959,11.75340747833252,3.8794331550598145
38,though,they said that we knew that,13.876790046691895,17.825519561767578,14.800983428955078,16.334938049316406
39,though,they said that we knew that,16.367351531982422,9.519767761230469,7.020161151885986,17.146482467651367
40,though,they said that we knew that,18.074954986572266,6.502614498138428,5.384921073913574,19.117280960083008
41,though,they said that we knew that,17.12455177307129,8.51906967163086,6.8996405601501465,17.779399871826172
42,though,they said that we knew that,17.71743392944336,6.97968864440918,5.380484104156494,17.810216903686523
43,though,they said that we knew that,8.577095031738281,8.189546585083008,6.315232276916504,8.916555404663086
44,though,they said that we knew that,2.2230491638183594,7.943777561187744,5.899094104766846,1.9664578437805176
45,though,they said that we knew that,1.2755059003829956,10.464317321777344,10.706432342529297,1.1403509378433228
46,though,they said that we knew that,0.34030961990356445,0.6441782116889954,1.1467926502227783,0.23468752205371857
47,though,they said that we knew that,2.582212209701538,13.252494812011719,12.311473846435547,2.4554691314697266
48,though,they said that we knew that,3.3554089069366455,15.400354385375977,7.738509178161621,9.300481796264648
49,though,they said that we knew that,2.8503496646881104,12.724363327026367,6.55469274520874,12.977945327758789
50,though,they said that we knew that,3.690030813217163,9.340937614440918,7.672731399536133,12.878440856933594
51,though,they said that we knew that,6.324552536010742,14.385664939880371,11.315744400024414,13.319986343383789
52,though,they said that we knew that,1.8862203359603882,7.971817493438721,5.602108955383301,12.243742942810059
53,though,they said that we knew that,7.577239036560059,14.964037895202637,13.501548767089844,12.663108825683594
54,though,they said that we knew that,7.805787563323975,10.976815223693848,11.683626174926758,11.638163566589355
55,though,they said that we knew that,7.77154016494751,10.216538429260254,7.49017333984375,11.408041000366211
56,though,they said that we knew that,12.347658157348633,9.409284591674805,7.806438446044922,13.233075141906738
57,though,they said that we knew that,6.858534336090088,12.118769645690918,8.195591926574707,12.234471321105957
58,though,they said that we knew that,12.886345863342285,14.307945251464844,10.147326469421387,16.274415969848633
59,though,they said that we knew that,17.11676597595215,13.066614151000977,11.011022567749023,17.172168731689453
60,though,they said that we knew that,15.125789642333984,11.202672004699707,8.409516334533691,15.84665584564209
61,though,they said that we knew that,15.727560043334961,11.74744701385498,7.320883274078369,16.72342300415039
62,though,they said that we knew that,15.879735946655273,10.474167823791504,10.167839050292969,16.47308921813965
63,though,they said that we knew that,3.0476343631744385,11.531399726867676,7.678608417510986,10.751757621765137
64,though,they said that we knew that,3.653904914855957,7.505130290985107,6.376219749450684,5.719763278961182
65,though,they said that we knew that,2.1056385040283203,15.460051536560059,10.047163009643555,11.966431617736816
