ADJ
good
balmy
convenient
pleasant
further
second
helpful
few
hard
dreadful
full
small
entire
extra
whole
additional
simple
meager
searing
couple
solid
mere
whopping
short
long
brief
electric
busy
spare
staggering
measly
half
standard
several
scary
glorious
constant
astounding
reasonable
piddly
tough
easy
hectic
unprecedented
different
fucking
tiny
modest
few & more
astonishing
tense
concise
sudden
steady
beautiful
quick
total
safe
_ & long & _
big
bare
disbelieving
relaxing
stately
blistering
harrowing
nervous
cool
sedate
towering
exhilarating
terrifying & exhilarating
respectful
minuscule
rough
mild
long & painful
slow
loose
reported
precious
bewildered
respectable
miraculous
coupla
average
extra & few
clumsy
circumspect
fucking & minuscule
lonely
scant
frugal
unusual
perfect
offsetting
new
unsolicited
lively
majestic
scarce
educational
tremendous
distant
incredible
demure & strong
strenuous
bright
brisk
fast
tougher & second
heartbreaking
good & long
requisite
lousy
paltry
actual
freezing
clear
fashionable
excruciating
lavish
gruelling
least
normal
small & square & wooden
cada
free
amazing
interesting
pitiful
friggin & '
fragile
quiet
boring
top
usual
initial
square
agreed
potential
healthy
sunny
old
grueling
crappy
turreted
brutal
flat
negative
uncomfortable
interminable
thoughtful
hefty
complete
fierce & large
supplementary
uncontrolled
non & - & stop
single & oblong
long & cold
timely
relaxing & refreshing
warm
massive
amused
straight
longer
goody
intense
depressing
agonising
fun
successful
crazy
unbelievable
robust
ungodly
interesting & up & down
unsuccessful
symbolic
generous
uneasy
chilly
final
constant & negative
light
vigilant
proud
elevated
blazing
comfortable
pregnant
intense & exhausting
profitable
shining
worrying
punishing
approximate
fierce
breezy
friendly
sensible
impressive
honest
blown
streamlined & healthier
wiry
combined
astronomical
decent
lanky
mandatory
exciting
bent
continuous
miserable
great
praiseworthy
moderate
chubby & energetic
representative
literal
undisrupted
frigid
swift
passionate
surprising
collective
rollicking
expected
busy & exhausting
swell
dinky
fabulous
possible
princely
little & less
future
enjoyable
obligatory
automatic
extended
frustrating
special
lengthy & demanding
prudent
late
instant
estimated
expansive
toasty
bracing
few & bad
striking
ridiculous
few & older
tardy
exceptional
great & fucking
wonderful
agonizing
awkward
happy
little
undercover
futile
mystical
magical
even
maximum
piddling
long & uneasy
sustained
stout
important
crisp
wild
painstaking
gorgeous
noticeable
young & mature
whole & ' & nother
minimum
frustrating & long
strapping
chronic
Biblical
good & solid
smart
skinny
silent
hurried
humble
miserable & isolated
specific
painless
lest
uncontested
leisurely
vital
frosty
degenerated
slim
functional
fabulous & first
few & crazy
spectacular
mean
scant & few
lovely & quiet
great & big & gigantic
crummy
cozy
giddy
real
painful & grizzly
daunting
merciful
horrible
fascinating
median
archaic
intimidating
consecutive
eventful
prosperous
unparalleled
nice
hunnert
alarming
miserly
pulsating
remarkable
undeserved
productive
awful
lean
irritating
revolting
lethal
uneventful
peppy
lithe
torturous
fruitless
metaphysical
trim
teasing
long & delicious
crushing
empty
long & agonizing
diplomatic
unreachable
long & lonely
rotund
extraordinary
lucrative
whole & big
strange
good & few
spirited
anxious
desirable
challenging
strict
dismal
low
hilarious
mingy
forgotten
immortal
crazy & busy
restful
precise
dusty
